Date,Item,Quantity,Customer Count
2026-06-15,Biryani,22,32
2026-06-15,Chicken Karahi,12,32
2026-06-15,Naan,48,32
2026-06-15,Water,28,32
2026-06-16,Biryani,21,30
2026-06-16,Chicken Karahi,11,30
2026-06-16,Naan,45,30
2026-06-16,Water,27,30
2026-06-17,Biryani,23,33
2026-06-17,Chicken Karahi,13,33
2026-06-17,Naan,49,33
2026-06-17,Water,30,33
2026-06-18,Biryani,20,29
2026-06-18,Chicken Karahi,10,29
2026-06-18,Naan,43,29
2026-06-18,Water,26,29
2026-06-19,Biryani,31,45
2026-06-19,Chicken Karahi,18,45
2026-06-19,Naan,67,45
2026-06-19,Water,40,45
2026-06-20,Biryani,54,78
2026-06-20,Chicken Karahi,31,78
2026-06-20,Naan,117,78
2026-06-20,Water,70,78
2026-06-21,Biryani,52,75
2026-06-21,Chicken Karahi,30,75
2026-06-21,Naan,112,75
2026-06-21,Water,67,75
2026-06-22,Biryani,21,31
2026-06-22,Chicken Karahi,12,31
2026-06-22,Naan,46,31
2026-06-22,Water,27,31
2026-06-23,Biryani,19,28
2026-06-23,Chicken Karahi,11,28
2026-06-23,Naan,42,28
2026-06-23,Water,25,28
2026-06-24,Biryani,23,34
2026-06-24,Chicken Karahi,13,34
2026-06-24,Naan,51,34
2026-06-24,Water,30,34
2026-06-25,Biryani,21,30
2026-06-25,Chicken Karahi,12,30
2026-06-25,Naan,45,30
2026-06-25,Water,27,30
2026-06-26,Biryani,33,48
2026-06-26,Chicken Karahi,19,48
2026-06-26,Naan,72,48
2026-06-26,Water,43,48
2026-06-27,Biryani,56,80
2026-06-27,Chicken Karahi,32,80
2026-06-27,Naan,120,80
2026-06-27,Water,72,80
2026-06-28,Biryani,50,72
2026-06-28,Chicken Karahi,28,72
2026-06-28,Naan,108,72
2026-06-28,Water,64,72
2026-06-29,Biryani,21,30
2026-06-29,Chicken Karahi,12,30
2026-06-29,Naan,45,30
2026-06-29,Water,27,30
2026-06-30,Biryani,22,32
2026-06-30,Chicken Karahi,12,32
2026-06-30,Naan,48,32
2026-06-30,Water,28,32
2026-07-01,Biryani,20,29
2026-07-01,Chicken Karahi,11,29
2026-07-01,Naan,43,29
2026-07-01,Water,26,29
2026-07-02,Biryani,21,31
2026-07-02,Chicken Karahi,12,31
2026-07-02,Naan,46,31
2026-07-02,Water,27,31
2026-07-03,Biryani,32,46
2026-07-03,Chicken Karahi,18,46
2026-07-03,Naan,69,46
2026-07-03,Water,41,46
2026-07-04,Biryani,52,75
2026-07-04,Chicken Karahi,30,75
2026-07-04,Naan,112,75
2026-07-04,Water,67,75
2026-07-05,Biryani,54,78
2026-07-05,Chicken Karahi,31,78
2026-07-05,Naan,117,78
2026-07-05,Water,70,78
2026-07-06,Biryani,23,33
2026-07-06,Chicken Karahi,13,33
2026-07-06,Naan,49,33
2026-07-06,Water,29,33
2026-07-07,Biryani,21,30
2026-07-07,Chicken Karahi,12,30
2026-07-07,Naan,45,30
2026-07-07,Water,27,30
2026-07-08,Biryani,21,31
2026-07-08,Chicken Karahi,12,31
2026-07-08,Naan,46,31
2026-07-08,Water,27,31
2026-07-09,Biryani,19,28
2026-07-09,Chicken Karahi,11,28
2026-07-09,Naan,42,28
2026-07-09,Water,25,28
2026-07-10,Biryani,35,50
2026-07-10,Chicken Karahi,20,50
2026-07-10,Naan,75,50
2026-07-10,Water,45,50
2026-07-11,Biryani,57,82
2026-07-11,Chicken Karahi,32,82
2026-07-11,Naan,123,82
2026-07-11,Water,73,82
2026-07-12,Biryani,55,79
2026-07-12,Chicken Karahi,31,79
2026-07-12,Naan,118,79
2026-07-12,Water,71,79
2026-07-13,Biryani,23,34
2026-07-13,Chicken Karahi,13,34
2026-07-13,Naan,51,34
2026-07-13,Water,30,34
2026-07-14,Biryani,21,31
2026-07-14,Chicken Karahi,12,31
2026-07-14,Naan,46,31
2026-07-14,Water,27,31
2026-07-15,Biryani,20,29
2026-07-15,Chicken Karahi,11,29
2026-07-15,Naan,43,29
2026-07-15,Water,26,29
2026-07-16,Biryani,22,32
2026-07-16,Chicken Karahi,12,32
2026-07-16,Naan,48,32
2026-07-16,Water,28,32
2026-07-17,Biryani,32,47
2026-07-17,Chicken Karahi,18,47
2026-07-17,Naan,70,47
2026-07-17,Water,42,47
2026-07-18,Biryani,53,76
2026-07-18,Chicken Karahi,30,76
2026-07-18,Naan,114,76
2026-07-18,Water,68,76
2026-07-19,Biryani,51,74
2026-07-19,Chicken Karahi,29,74
2026-07-19,Naan,111,74
2026-07-19,Water,66,74
2026-07-20,Biryani,21,30
2026-07-20,Chicken Karahi,12,30
2026-07-20,Naan,45,30
2026-07-20,Water,27,30
2026-07-21,Biryani,20,29
2026-07-21,Chicken Karahi,11,29
2026-07-21,Naan,43,29
2026-07-21,Water,26,29
2026-07-22,Biryani,23,33
2026-07-22,Chicken Karahi,13,33
2026-07-22,Naan,49,33
2026-07-22,Water,29,33
2026-07-23,Biryani,21,30
2026-07-23,Chicken Karahi,12,30
2026-07-23,Naan,45,30
2026-07-23,Water,27,30
2026-07-24,Biryani,31,45
2026-07-24,Chicken Karahi,18,45
2026-07-24,Naan,67,45
2026-07-24,Water,40,45
2026-07-25,Biryani,56,80
2026-07-25,Chicken Karahi,32,80
2026-07-25,Naan,120,80
2026-07-25,Water,72,80
2026-07-26,Biryani,55,79
2026-07-26,Chicken Karahi,31,79
2026-07-26,Naan,118,79
2026-07-26,Water,71,79
